,home_team,home_score,away_team,away_score,Mean_x,std_x,95_flag_x,68_flag_x,50_flag_x,Mean_y,std_y,95_flag_y,68_flag_y,50_flag_y,home_resid,away_resid
0,France,17,Ireland,38,22.1,10.664056435834722,1,1,1,23.25,12.242600966753983,1,0,0,-5.100000000000001,14.75
1,Italy,24,England,27,22.9,10.643998294168819,1,1,1,25.32,12.42445928033344,1,1,1,1.1000000000000014,1.6799999999999997
2,Wales,26,Scotland,27,22.14,10.525368021506452,1,1,1,30.86,13.166943572090519,1,1,1,3.8599999999999994,-3.8599999999999994
3,Scotland,16,France,20,27.04,11.163849071163286,1,1,0,25.66,12.595241340035427,1,1,1,-11.04,-5.66
4,England,16,Wales,14,29.43,11.108023640117818,1,0,0,21.53,12.076881134222077,1,1,1,-13.43,-7.530000000000001
5,Ireland,36,Italy,0,27.77,11.2074640374251,1,1,0,17.47,11.3155112496956,0,0,0,8.23,-17.47
6,Ireland,31,Wales,7,29.96,11.10273207770385,1,1,1,16.99,10.98492710596496,1,1,0,1.0399999999999991,-9.989999999999998
7,Scotland,30,England,21,28.89,11.027232468055196,1,1,1,23.63,12.435642742418993,1,1,1,1.1099999999999994,-2.629999999999999
8,France,13,Italy,13,29.47,11.258844408043798,1,0,0,20.43,11.816593349763364,1,1,1,-16.47,-7.43
9,Italy,31,Scotland,29,22.1,10.820794980147271,1,1,0,28.73,12.722694779898113,1,1,1,8.899999999999999,0.2699999999999996
10,England,23,Ireland,22,20.04,10.409269492433657,1,1,1,24.24,12.023500638709367,1,1,1,2.960000000000001,-2.2399999999999984
11,Wales,24,France,45,21.19,10.499840748177014,1,1,1,30.22,13.175856294794922,1,0,0,2.8099999999999987,14.780000000000001
12,Wales,21,Italy,24,24.25,10.68977450485547,1,1,1,24.94,12.501848797807684,1,1,1,-3.25,-0.9400000000000013
13,Ireland,17,Scotland,13,25.27,11.0197372151565,1,1,0,21.78,12.07839508964404,1,1,1,-8.27,-8.780000000000001
14,France,33,England,31,27.59,11.006547937771257,1,1,1,22.31,11.742106809839372,1,1,0,5.41,8.690000000000001
15,Wales,13,South Africa,41,16.63,9.85885147139423,1,1,1,30.58,13.262733575799444,1,1,0,-3.629999999999999,10.420000000000002
16,New Zealand,16,England,15,28.17,11.044611200291703,1,0,0,20.6,11.463742820105303,1,1,1,-12.170000000000002,-5.600000000000001
17,Australia,25,Wales,16,30.84,11.214262059203689,1,1,1,23.98,12.316242571830136,1,1,1,-5.84,-7.98
18,South Africa,27,Ireland,20,22.96,10.543181361262182,1,1,1,19.06,11.579106324372646,1,1,1,4.039999999999999,0.9400000000000013
19,Argentina,13,France,28,25.86,11.034258972711985,1,0,0,28.17,12.4487907236592,1,1,1,-12.86,-0.1700000000000017
20,New Zealand,24,England,17,28.52,11.20999881772343,1,1,1,20.89,11.663595168660887,1,1,1,-4.52,-3.8900000000000006
21,Australia,36,Wales,28,30.72,11.213836313071948,1,1,1,24.05,12.249490256623442,1,1,1,5.280000000000001,3.9499999999999993
22,South Africa,24,Ireland,25,22.88,10.82552314533473,1,1,1,18.75,11.447557433841414,1,1,1,1.120000000000001,6.25
23,Argentina,33,France,25,25.97,11.00190263225778,1,1,1,28.08,12.817418266077288,1,1,1,7.030000000000001,-3.0799999999999983
24,Australia,7,South Africa,33,19.75,10.555396391950966,1,0,0,29.34,13.075568045435231,1,1,1,-12.75,3.66
25,New Zealand,30,Argentina,38,30.29,11.302054613936235,1,1,1,22.49,12.033214671967732,1,0,0,-0.28999999999999915,15.510000000000002
26,New Zealand,42,Argentina,10,29.87,11.133899679192051,1,0,0,22.43,11.96601335011447,1,0,0,12.129999999999999,-12.43
27,Australia,12,South Africa,30,20.04,10.448829256250137,1,1,0,30.11,13.121098816146796,1,1,1,-8.04,-0.10999999999999943
28,Fiji,42,Samoa,16,31.82,11.679700480059171,1,1,0,22.51,12.030236930613878,1,1,1,10.18,-6.510000000000002
29,Canada,28,Japan,55,30.41,11.459481590440218,1,1,1,33.66,13.572451758112043,1,0,0,-2.41,21.340000000000003
30,Samoa,43,Tonga,17,31.52,11.905639113765,1,1,0,25.83,12.853726167156507,1,1,1,11.48,-8.829999999999998
31,USA,28,Canada,15,28.05,11.512617077998776,1,1,1,21.52,12.05917538871345,1,1,1,-0.05000000000000071,-6.52
32,Tonga,19,Fiji,50,22.95,10.980119172852197,1,1,1,32.86,13.59889956584881,1,0,0,-3.9499999999999993,17.14
33,Japan,41,USA,24,28.61,11.505682164006338,1,0,0,27.89,13.189599857231332,1,1,1,12.39,-3.8900000000000006
34,Tonga,30,Canada,17,29.96,11.690305607699505,1,1,1,28.44,13.471707138463598,1,1,0,0.03999999999999915,-11.440000000000001
35,Fiji,22,USA,3,27.26,11.462155197784938,1,1,1,20.27,12.135119043116884,1,0,0,-5.260000000000002,-17.27
36,Samoa,27,Japan,49,32.44,11.409480276421064,1,1,1,31.68,13.435034924411731,1,0,0,-5.439999999999998,17.32
37,Samoa,18,USA,13,24.35,10.739670578538762,1,1,1,24.44,12.782265739033788,1,1,0,-6.350000000000001,-11.440000000000001
38,Fiji,41,Japan,17,35.82,11.603648178516398,1,1,1,26.29,12.749202277845358,1,1,0,5.18,-9.29
39,Japan,19,New Zealand,64,24.94,10.92445574682062,1,1,1,34.4,14.075883442287026,0,0,0,-5.940000000000001,29.6
40,England,22,New Zealand,24,21.66,10.41788108067019,1,1,1,26.17,12.403709073054573,1,1,1,0.33999999999999986,-2.1700000000000017
41,Scotland,57,Fiji,17,28.45,11.131806242366812,0,0,0,25.17,12.54131293401699,1,1,1,28.55,-8.170000000000002
42,Ireland,13,New Zealand,23,22.0,10.577507202065107,1,1,0,21.45,12.100302679158222,1,1,1,-9.0,1.5500000000000007
43,England,37,Australia,42,28.49,11.078851790784064,1,1,0,24.93,12.420107585954106,1,0,0,8.510000000000002,17.07
44,Italy,18,Argentina,50,24.77,10.894756551321905,1,1,1,27.7,12.928340110140429,1,0,0,-6.77,22.3
45,France,52,Japan,12,36.43,11.6830780216055,1,0,0,25.78,12.523109973038661,1,0,0,15.57,-13.780000000000001
46,Wales,19,Fiji,24,22.22,10.586833089352277,1,1,1,29.82,12.805412095915099,1,1,1,-3.219999999999999,-5.82
47,Scotland,15,South Africa,32,21.97,10.623105322367147,1,1,1,26.59,12.725249237417954,1,1,1,-6.969999999999999,5.41
48,Ireland,22,Argentina,19,28.02,11.283148837045683,1,1,1,20.75,11.783995967737408,1,1,1,-6.02,-1.75
