,home_team,home_score,away_team,away_score,Mean_x,std_x,95_flag_x,68_flag_x,50_flag_x,Mean_y,std_y,95_flag_y,68_flag_y,50_flag_y,home_resid,away_resid
0,France,17,Ireland,38,21.56,10.288963306917312,1,1,1,21.61,11.685448726638715,1,0,0,-4.559999999999999,16.39
1,Italy,24,England,27,20.66,10.210485663211067,1,1,1,23.89,11.984790594838774,1,1,1,3.34,3.1099999999999994
2,Wales,26,Scotland,27,20.47,9.976336364610836,1,1,1,32.34,13.146903727121115,1,1,1,5.530000000000001,-5.340000000000003
3,Scotland,16,France,20,25.84,10.794239096542363,1,1,0,25.31,12.04075625821409,1,1,1,-9.84,-5.309999999999999
4,England,16,Wales,14,28.33,10.818552756809744,1,0,0,19.78,11.184228203494019,1,1,1,-12.329999999999998,-5.780000000000001
5,Ireland,36,Italy,0,26.01,10.994924452366597,1,1,0,17.21,10.50849505939816,0,0,0,9.989999999999998,-17.21
6,Ireland,31,Wales,7,29.01,11.236114176033244,1,1,1,17.14,10.791673258872107,1,1,0,1.9899999999999984,-10.14
7,Scotland,30,England,21,28.34,11.045288234815942,1,1,1,22.34,11.592351156184638,1,1,1,1.6600000000000001,-1.3399999999999999
8,France,13,Italy,13,28.66,11.136069258662344,1,0,0,19.09,11.191245895149072,1,1,1,-15.66,-6.09
9,Italy,31,Scotland,29,20.76,10.164892449373673,1,1,0,28.77,12.767803064894398,1,1,1,10.239999999999998,0.23000000000000043
10,England,23,Ireland,22,19.2,9.776894794336394,1,1,1,23.04,11.850166493186473,1,1,1,3.8000000000000007,-1.0399999999999991
11,Wales,24,France,45,18.82,9.892948029619284,1,1,1,30.76,12.862983325234255,1,0,0,5.18,14.239999999999998
12,Wales,21,Italy,24,21.9,10.354566572306931,1,1,1,23.76,11.887812900543704,1,1,1,-0.8999999999999986,0.23999999999999844
13,Ireland,17,Scotland,13,24.0,10.438227060448572,1,1,1,21.88,11.923530399284212,1,1,0,-7.0,-8.879999999999999
14,France,33,England,31,26.66,10.51775990243722,1,1,1,21.01,11.28736157601066,1,1,0,6.34,9.989999999999998
15,Wales,13,South Africa,41,15.96,9.275715295412441,1,1,1,31.53,13.489416418502781,1,1,0,-2.960000000000001,9.469999999999999
16,New Zealand,16,England,15,27.44,10.6476877496805,1,0,0,20.17,11.121922280943856,1,1,1,-11.440000000000001,-5.170000000000002
17,Australia,25,Wales,16,31.6,11.48825411733964,1,1,1,22.01,11.654690014762123,1,1,1,-6.600000000000001,-6.010000000000002
18,South Africa,27,Ireland,20,22.24,10.3653062947851,1,1,1,18.27,10.641350803431456,1,1,1,4.760000000000002,1.7300000000000004
19,Argentina,13,France,28,24.22,10.359161741922707,1,0,0,27.77,12.412228411641182,1,1,1,-11.219999999999999,0.23000000000000043
20,New Zealand,24,England,17,27.32,10.776139946368946,1,1,1,19.79,11.200412210787832,1,1,1,-3.3200000000000003,-2.789999999999999
21,Australia,36,Wales,28,31.77,11.51249830142696,1,1,1,22.17,11.732721697418807,1,1,1,4.23,5.829999999999998
22,South Africa,24,Ireland,25,22.14,10.227806793324605,1,1,1,18.2,10.57414051431048,1,1,1,1.8599999999999994,6.800000000000001
23,Argentina,33,France,25,24.17,10.45613487909697,1,1,0,27.89,12.198407338009014,1,1,1,8.829999999999998,-2.8900000000000006
24,Australia,7,South Africa,33,19.41,9.721652709038004,1,0,0,30.04,13.116248315760238,1,1,1,-12.41,2.960000000000001
25,New Zealand,30,Argentina,38,31.02,10.935767895642604,1,1,1,21.94,11.429466946799195,1,0,0,-1.0199999999999996,16.06
26,New Zealand,42,Argentina,10,30.98,10.961229970529976,1,0,0,22.66,11.878886949925581,1,0,0,11.02,-12.66
27,Australia,12,South Africa,30,19.21,9.992107313124519,1,1,1,30.09,12.93669218231002,1,1,1,-7.210000000000001,-0.08999999999999986
28,Fiji,42,Samoa,16,33.73,11.845403461323766,1,1,0,21.72,11.95144882986545,1,1,1,8.270000000000003,-5.719999999999999
29,Canada,28,Japan,55,28.97,11.220166947310245,1,1,1,38.63,15.624306060201633,1,0,0,-0.9699999999999989,16.369999999999997
